2019/01,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
10,웨스트 사이드 스토리,2022-01-12,"1,156,029,050",2.10%,"1,162,584,050","112,954","113,391",754,"14,955",,10,메간,2023-01-25,"1,445,365,945",1.20%,"1,445,365,945","142,570","142,570",704,"11,687"
합계,,,"51,817,926,430",93.20%,"114,811,744,320","5,315,393","11,627,605","11,661","401,571",,합계,,,"117,004,589,255",94.30%,"228,920,494,466","10,529,977","20,027,763","10,235","469,112"
,,,,,,,,,,,,,,,,,,,,
2022/02,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/02,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,해적: 도깨비 깃발,2022-01-26,"6,536,103,600",21.10%,"12,393,442,990","705,445","1,318,465","1,657","75,468",,1,더 퍼스트 슬램덩크,2023-01-04,"16,820,705,766",24.40%,"37,445,308,431","1,648,196","3,643,003","1,058","83,147"
2,언차티드,2022-02-16,"5,996,987,970",19.40%,"5,996,987,970","614,875","614,875","1,536","60,391",,2,앤트맨과 와스프: 퀀텀매니아,2023-02-15,"14,548,744,774",21.10%,"14,548,744,774","1,376,484","1,376,484","2,090","87,432"
3,킹메이커,2022-01-26,"4,164,260,100",13.50%,"7,305,000,060","440,182","770,266","1,166","52,853",,3,타이타닉,1998-02-20,"6,528,961,730",9.50%,"6,528,961,730","454,336","454,336",447,"14,296"
4,극장판 주술회전 0,2022-02-17,"3,066,383,800",9.90%,"3,066,383,800","306,843","306,843",843,"29,825",,4,아바타: 물의 길,2022-12-14,"5,062,956,933",7.30%,"137,326,597,043","373,856","10,779,111",712,"23,722"
5,나일 강의 죽음,2022-02-09,"2,193,345,520",7.10%,"2,193,345,520","226,615","226,615","1,041","33,618",,5,카운트,2023-02-22,"2,605,724,325",3.80%,"2,605,724,325","273,358","273,358",946,"23,536"
6,스파이더맨: 노 웨이 홈,2021-12-15,"1,673,504,040",5.40%,"75,008,931,370","194,212","7,530,864",739,"21,659",,6,서치 2,2023-02-22,"2,342,663,702",3.40%,"2,342,663,702","241,144","241,144",868,"21,770"
7,씽2게더,2022-01-05,"1,112,519,850",3.60%,"8,110,693,840","117,156","876,080",679,"13,266",,7,교섭,2023-01-18,"2,275,375,152",3.30%,"17,458,205,841","231,765","1,720,823",799,"26,508"
8,극장판 안녕 자두야: 제주도의 비밀,2022-01-27,"574,916,230",1.90%,"1,004,299,260","65,202","114,124",595,"8,437",,8,바빌론,2023-02-01,"1,981,538,862",2.90%,"2,001,587,862","198,100","199,597",852,"20,799"
9,안테벨룸,2022-02-23,"593,751,040",1.90%,"593,751,040","62,956","62,956",638,"9,178",,9,상견니,2023-01-25,"1,775,237,470",2.60%,"3,448,206,338","175,552","346,264",570,"15,597"
10,인민을 위해 복무하라,2022-02-23,"493,943,340",1.60%,"493,943,340","53,772","53,772",598,"7,989",,10,영웅,2022-12-21,"1,696,880,958",2.50%,"32,092,667,412","171,392","3,248,955",656,"17,115"
합계,,,"26,405,715,490",85.40%,"116,166,779,190","2,787,258","1,187,258","9,492","312,684",,합계,,,"55,638,789,672",80.80%,"255,798,667,458","5,144,183","22,283,075","8,998","333,922"
,,,,,,,,,,,,,,,,,,,,
2022/03,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/03,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,더 배트맨,2022-03-01,"9,047,866,240",33.50%,"9,133,702,960","877,803","884,123","2,370","94,146",,1,스즈메의 문단속,2023-03-08,"33,888,623,448",42.30%,"34,212,660,348","3,265,988","3,288,582","1,572","125,607"
2,이상한 나라의 수학자,2022-03-09,"4,579,857,920",17.00%,"4,628,491,920","482,374","487,690","1,357","65,679",,2,대외비,2023-03-01,"7,410,908,199",9.30%,"7,447,284,199","749,702","753,498","1,157","53,432"
3,뜨거운 피,2022-03-23,"2,643,198,010",9.80%,"2,643,198,010","276,776","276,776","1,279","35,957",,3,더 퍼스트 슬램덩크,2023-01-04,"7,170,982,308",9.00%,"44,616,290,739","687,202","4,330,205",722,"48,824"
4,극장판 주술회전 0,2022-02-17,"2,381,965,010",8.80%,"5,448,348,810","244,376","551,219",713,"28,280",,4,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,"6,516,431,400",8.10%,"6,516,431,400","529,569","529,569",410,"20,300"
5,문폴,2022-03-16,"1,913,798,790",7.10%,"1,913,798,790","188,266","188,266","1,174","31,614",,5,아임 히어로 더 파이널,2023-03-01,"5,657,795,500",7.10%,"5,657,795,500","234,102","234,102",146,"7,613"
6,언차티드,2022-02-16,"1,117,941,130",4.10%,"7,114,929,100","115,894","730,769",820,"16,590",,6,웅남이,2023-03-22,"2,103,958,816",2.60%,"2,103,958,816","231,631","231,631",829,"24,788"
7,모비우스,2022-03-30,"937,998,040",3.50%,"937,998,040","107,603","107,603","1,614","14,334",,7,소울메이트,2023-03-15,"1,950,916,434",2.40%,"1,981,732,434","200,698","204,122",749,"25,292"
8,스펜서,2022-03-16,"677,903,130",2.50%,"688,541,830","71,221","72,237",730,"15,237",,8,멍뭉이,2023-03-01,"1,656,210,392",2.10%,"1,672,858,392","176,435","178,067",649,"15,076"
9,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,2022-03-09,"463,952,490",1.70%,"463,952,490","47,726","47,726",459,"5,445",,9,앤트맨과 와스프: 퀀텀매니아,2023-02-15,"1,796,712,832",2.20%,"16,345,457,606","174,514","1,550,998",719,"17,303"
10,안테벨룸,2022-02-23,"298,641,210",1.10%,"892,392,250","31,570","94,526",454,"4,824",,10,서치 2,2023-02-22,"1,731,827,494",2.20%,"4,074,491,196","172,461","413,605",674,"15,117"
합계,,,"24,063,121,970","89,10%","33,865,354,200","2,443,609","3,440,935","10,970","312,106",,합계,,,"69,884,366,823",87.30%,"124,628,960,630","6,422,302","11,714,379","7,627","353,352"
,,,,,,,,,,,,,,,,,,,,
2022/04,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/04,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,신비한 동물들과 덤블도어의 비밀,2022-04-13,"10,411,137,150",34.20%,"10,411,137,150","1,012,485","1,012,485","2,207","88,895",,1,스즈메의 문단속,2023-03-08,"18,375,941,950",26.00%,"52,588,602,298","1,830,142","5,118,724","1,540","94,327"
2,모비우스,2022-03-30,"3,718,106,850",12.20%,"4,656,104,890","365,799","473,402","1,696","56,796",,2,존 윅 4,2023-04-12,"16,604,332,847",23.50%,"16,625,548,847","1,597,373","1,598,621","1,535","70,164"
3,수퍼 소닉2,2022-04-06,"2,496,990,960",8.20%,"2,496,990,960","274,142","274,142","1,129","25,461",,3,슈퍼 마리오 브라더스,2023-04-26,"7,721,308,808",10.90%,"7,721,308,808","769,099","769,099","1,526","31,338"
4,니 부모 얼굴이 보고 싶다,2022-04-27,"1,523,253,190",5.00%,"1,523,253,190","170,342","170,342","1,008","15,816",,4,리바운드,2023-04-05,"6,226,581,424",8.80%,"6,339,400,424","646,596","659,051","1,154","54,536"
5,앵커,2022-04-20,"1,463,907,020",4.80%,"1,465,557,020","150,096","150,246","1,032","23,882",,5,드림,2023-04-26,"5,185,380,852",7.30%,"5,185,380,852","538,862","538,862","1,285","25,478"
6,공기살인,2022-04-22,"1,239,923,140",4.10%,"1,239,923,140","133,273","133,273",756,"16,951",,6,더 퍼스트 슬램덩크,2023-01-04,"3,243,693,721",4.60%,"47,859,984,460","259,501","4,589,706",615,"13,412"
7,앰뷸런스,2022-04-06,"1,130,418,110",3.70%,"1,130,418,110","112,342","112,342","1,033","23,343",,7,던전 앤 드래곤: 도적들의 명예,2023-03-29,"2,136,720,611",3.00%,"2,930,975,338","209,571","293,331","1,075","23,577"
8,뜨거운 피,2022-03-23,"986,912,960",3.20%,"3,630,110,970","100,658","377,434",799,"17,909",,8,킬링 로맨스,2023-04-14,"1,638,662,742",2.30%,"1,638,662,742","171,121","171,121",998,"24,755"
9,로스트 시티,2022-04-20,"899,081,910",3.00%,"899,081,910","97,020","97,020",835,"18,088",,9,옥수역귀신,2023-04-19,"1,630,510,400",2.30%,"1,630,510,400","154,798","154,798",314,"8,436"
10,스텔라,2022-04-06,"848,411,600",2.80%,"853,410,600","93,436","94,145",690,"17,657",,10,에어,2023-04-05,"1,037,691,981",1.50%,"1,053,509,981","107,461","109,164",656,"16,462"
합계,,,"24,718,142,890",81.20%,"28,305,987,940","2,509,593","2,894,831","11,185","304,798",,합계,,,"63,800,098,264",90.20%,"143,573,884,150","6,284,524","14,002,477","10,698","362,485"
,,,,,,,,,,,,,,,,,,,,
2022/05,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/05,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,범죄도시2,2022-05-18,"72,491,886,380",48.10%,"72,494,212,380","7,013,221","7,013,437","2,521","184,038",,1,가디언즈 오브 갤럭시: Volume 3,2023-05-03,"41,558,564,678",35.00%,"41,558,564,678","3,936,452","3,936,452","1,819","139,717"
2,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"61,798,154,700",41.00%,"61,798,154,700","5,803,762","5,803,762","2,691","208,097",,2,분노의 질주: 라이드 오어 다이,2023-05-17,"16,994,798,760",14.30%,"16,994,798,760","1,624,933","1,624,933","1,731","82,524"
3,배드 가이즈,2022-05-04,"3,642,981,470",2.40%,"3,741,977,670","383,993","393,591",844,"22,307",,3,슈퍼 마리오 브라더스,2023-04-26,"15,203,394,429",12.80%,"22,924,703,237","1,559,739","2,328,838","1,576","60,940"
4,니 부모 얼굴이 보고 싶다,2022-04-27,"2,362,251,090",1.60%,"3,885,504,280","233,768","404,110",981,"23,315",,4,범죄도시3,2023-05-31,"11,356,393,356",9.60%,"11,356,393,356","1,224,178","1,224,178","2,352","15,487"
5,그대가 조국,2022-05-25,"1,801,689,510",1.20%,"1,801,689,510","189,737","189,737",601,"8,023",,5,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,"6,793,684,949",5.70%,"6,831,105,825","685,661","688,746",844,"26,670"
6,신비한 동물들과 덤블도어의 비밀,2022-04-13,"1,883,379,860",1.20%,"12,294,517,010","181,063","1,193,548","1,215","17,159",,6,드림,2023-04-26,"5,594,560,565",4.70%,"10,779,941,417","582,769","1,121,631","1,226","35,958"
7,극장판 엉덩이 탐정: 수플레 섬의 비밀,2022-05-05,"1,395,918,940",0.90%,"1,398,672,940","151,108","151,414",770,"8,645",,7,인어공주,2023-05-24,"5,078,651,511",4.30%,"5,078,651,511","487,955","487,955","1,364","29,525"
8,서울괴담,2022-04-27,"672,645,500",0.40%,"1,075,368,990","67,746","112,634",471,"5,386",,8,스즈메의 문단속,2023-03-08,"3,834,375,137",3.20%,"56,422,977,435","383,368","5,502,092",693,"20,174"
9,수퍼 소닉2,2022-04-06,"325,708,450",0.20%,"2,822,699,410","35,847","309,989",427,"1,620",,9,존 윅 4,2023-04-12,"3,317,051,743",2.80%,"19,942,600,590","324,794","1,923,415",905,"19,277"
10,민스미트 작전,2022-05-11,"323,025,480",0.20%,"329,413,980","33,489","34,160",459,"6,576",,10,문재인입니다,2023-05-10,"1,092,623,136",0.90%,"1,092,623,136","112,842","112,842",602,"10,166"
합계,,,"146,697,641,380",97.20%,"161,642,210,870","14,093,734","15,606,382","10,980","485,166",,합계,,,,93.30%,"192,982,359,945","10,922,691","18,951,082","13,112","440,438"
,,,,,,,,,,,,,,,,,,,,
2022/06,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/06,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,범죄도시2,2022-05-18,"53,743,053,410",34.00%,"126,237,265,790","5,203,165","12,216,602","1,786","150,166",,1,범죄도시3,2023-05-31,"87,130,311,881",60.00%,"98,486,705,237","8,745,222","9,969,400","2,582","253,403"
2,쥬라기 월드: 도미니언,2022-06-01,"29,091,164,990",18.40%,"29,101,772,990","2,822,654","2,823,278","2,218","85,917",,2,엘리멘탈,2023-06-14,"16,661,492,941",11.50%,"16,668,970,941","1,691,732","1,692,554","1,331","62,632"
3,마녀(魔女) Part2. The Other One,2022-06-15,"24,953,511,520",15.80%,"24,955,734,520","2,425,071","2,425,318","1,796","77,268",,3,트랜스포머: 비스트의 서막,2023-06-06,"7,731,747,754",5.30%,"7,731,747,754","764,377","764,377","1,123","44,855"
4,탑건: 매버릭,2022-06-22,"23,224,086,500",14.70%,"23,224,086,500","2,183,766","2,183,766","1,975","72,580",,4,플래시,2023-06-14,"6,527,899,642",4.50%,"6,527,899,642","614,030","614,030","1,258","41,890"
5,브로커,2022-06-08,"12,344,597,720",7.80%,"12,364,765,720","1,233,759","1,235,999","1,594","64,828",,5,스파이더맨: 어크로스 더 유니버스,2023-06-21,"5,309,163,912",3.70%,"5,309,163,912","497,687","497,687","1,103","29,552"
6,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,2022-06-01,"5,384,454,670",3.40%,"5,384,454,670","571,570","571,570",809,"13,729",,6,귀공자,2023-06-21,"4,779,869,699",3.30%,"4,779,869,699","491,177","491,177",966,"30,085"
7,버즈 라이트이어,2022-06-15,"3,121,299,150",2.00%,"3,121,299,150","301,112","301,112",844,"20,442",,7,가디언즈 오브 갤럭시: Volume 3,2023-05-03,"2,766,466,626",1.90%,"44,325,031,304","269,489","4,205,941",625,"13,806"
8,헤어질 결심,2022-06-29,"1,645,676,240",1.00%,"1,645,676,240","187,927","187,927","1,374","10,741",,8,인디아나 존스: 운명의 다이얼,2023-06-28,"2,261,202,192",1.60%,"2,261,202,192","241,367","241,367","1,261","11,907"
9,그대가 조국,2022-05-25,"1,246,274,560",0.80%,"3,047,964,070","136,972","326,709",356,"3,009",,9,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,"2,114,823,986",1.50%,"4,468,340,849","227,540","578,827",587,"9,424"
10,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"845,440,370",0.50%,"62,643,595,070","80,302","5,884,064",185,"2,945",,10,인어공주,2023-05-24,"1,582,040,373",1.10%,"6,660,691,884","158,978","646,933",597,"8,013"
합계,,,"155,599,559,130",98.40%,"291,726,614,720","15,146,298","28,156,345","12,937","501,625",,합계,,,"136,865,019,006",94.40%,"197,219,623,414","13,702,293","19,702,293","11,433","505,567"
,,,,,,,,,,,,,,,,,,,,
2022/07,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/07,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,탑건: 매버릭,2022-06-22,"52,027,979,386",30.50%,"75,252,065,886","4,865,590","7,049,356","1,622","134,740",,1,엘리멘탈,2023-06-14,"40,226,544,806",28.70%,"56,895,515,747","4,086,918","5,779,472","1,664","124,676"
2,토르: 러브 앤 썬더,2022-07-06,"29,426,846,744",17.30%,"29,437,454,744","2,709,075","2,709,699","2,143","107,232",,2,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,"36,264,590,140",25.90%,"36,264,590,140","3,594,887","3,594,887","2,437","121,203"
3,한산: 용의 출현,2022-07-27,"23,390,019,692",13.70%,"23,390,019,692","2,269,575","2,269,575","2,223","51,570",,3,밀수,2023-07-26,"19,088,796,091",13.60%,"19,088,796,091","1,978,231","1,978,231","1,932","54,142"
4,미니언즈2,2022-07-20,"14,691,390,207",8.60%,"14,691,390,207","1,504,946","1,504,946","1,394","50,006",,4,범죄도시3,2023-05-31,"6,184,609,945",4.40%,"104,671,315,182","711,505","10,680,905",943,"42,706"
5,헤어질 결심,2022-06-29,"15,634,262,263",9.20%,"17,279,938,503","1,484,168","1,672,095","1,265","57,894",,5,인디아나 존스: 운명의 다이얼,2023-06-28,"6,239,832,155",4.50%,"8,501,034,347","618,807","860,174","1,268","34,242"
6,외계+인 1부,2022-07-20,"14,200,534,032",8.30%,"14,200,534,032","1,357,683","1,357,683","1,959","59,254",,6,명탐정코난: 흑철의 어영,2023-07-20,"5,719,823,652",4.10%,"5,719,823,652","601,683","601,683","1,030","24,037"
7,범죄도시2,2022-05-18,"5,031,908,870",3.00%,"131,269,174,660","474,116","12,690,718",822,"21,273",,7,바비,2023-07-19,"4,355,081,151",3.10%,"4,355,081,151","450,191","450,191",780,"21,231"
8,명탐정 코난: 할로윈의 신부,2022-07-13,"4,277,238,981",2.50%,"4,277,238,981","411,642","411,642",758,"16,438",,8,스파이더맨: 어크로스 더 유니버스,2023-06-21,"4,086,539,574",2.90%,"9,395,703,486","413,353","911,040",729,"17,213"
9,마녀(魔女) Part2. The Other One,2022-06-15,"3,948,572,150",2.30%,"28,904,306,670","378,055","2,803,373",786,"17,591",,9,인시디어스: 빨간 문,2023-07-19,"3,737,620,982",2.70%,"3,737,620,982","368,127","368,127",758,"16,696"
10,뽀로로 극장판 드래곤캐슬 대모험,2022-07-28,"1,632,894,635",1.00%,"1,634,820,635","171,310","171,524",748,"5,917",,10,여름날 우리,2021-08-25,"2,992,845,844",2.10%,"3,597,011,444","299,927","366,786",244,"10,511"
합계,,,"164,261,646,960",94.40%,"340,336,944,010","15,626,160","32,640,611","13,720","52,191",,합계,,,"128,896,284,340",92.00%,"252,226,492,222","13,123,629","25,591,496","11,785","466,657"
,,,,,,,,,,,,,,,,,,,,
2022/08,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/08,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,한산: 용의 출현,2022-07-27,"48,640,449,693",31.90%,"72,030,469,385","4,801,836","7,071,411","2,030","149,316",,1,콘크리트 유토피아,2023-08-09,"33,729,838,362",23.50%,"33,754,618,362","3,452,681","3,454,857","1,731","110,766"
2,헌트,2022-08-10,"40,017,613,674",26.30%,"40,045,439,674","3,879,038","3,881,399","1,625","129,939",,2,밀수,2023-07-26,"29,414,760,178",20.50%,"48,503,556,269","3,043,853","5,022,084","1,771","100,715"
3,비상선언,2022-08-03,"20,664,921,736",13.60%,"20,812,411,652","2,030,403","2,046,166","1,734","72,331",,3,오펜하이머,2023-08-15,"26,923,397,740",18.80%,"26,923,397,740","2,525,885","2,525,885","1,636","79,345"
4,탑건: 매버릭,2022-06-22,"10,389,116,072",6.80%,"85,641,181,958","954,986","8,004,342",802,"32,964",,4,엘리멘탈,2023-06-14,"12,526,218,715",8.70%,"69,421,734,462","1,285,652","7,065,124","1,019","48,897"
5,미니언즈2,2022-07-20,"7,117,540,132",4.70%,"21,808,930,339","744,106","2,249,052",945,"27,433",,5,비공식작전,2023-08-02,"9,760,586,384",6.80%,"10,170,842,196","1,013,010","1,056,202","1,151","44,657"
6,육사오(6/45),2022-08-24,"6,765,201,849",4.40%,"6,765,201,849","680,136","680,136","1,185","33,875",,6,달짝지근해: 7510,2023-08-15,"9,476,912,436",6.60%,"9,476,912,436","974,370","974,370","1,032","46,224"
7,놉,2022-08-17,"4,273,648,241",2.80%,"4,273,648,241","374,255","374,255","1,031","28,437",,7,더 문,2023-08-02,"4,860,997,988",3.40%,"5,170,945,728","482,112","512,048","1,187","29,817"
8,뽀로로 극장판 드래곤캐슬 대모험,2022-07-28,"2,501,261,380",1.60%,"4,136,082,015","270,315","441,839",677,"11,426",,8,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,"4,113,496,664",2.90%,"40,378,086,804","421,788","4,016,675",846,"16,260"
9,DC 리그 오브 슈퍼-펫,2022-08-10,"2,246,452,221",1.50%,"2,246,452,221","239,067","239,067",585,"12,529",,9,명탐정코난: 흑철의 어영,2023-07-20,"1,685,992,722",1.20%,"7,405,816,374","171,586","773,269",600,"7,805"
10,헤어질 결심,2022-06-29,"2,065,953,714",1.40%,"19,345,892,217","192,926","1,865,021",412,"8,593",,10,바비,2023-07-19,"1,335,225,496",0.90%,"5,690,306,647","129,125","579,316",535,"5,616"
합계,,,"144,682,158,712",95.00%,"277,105,709,551","14,167,068","26,852,688","11,026","506,843",,합계,,,"133,827,426,685",93.30%,"256,896,217,018","13,500,062","25,979,830","11,508","490,102"
,,,,,,,,,,,,,,,,,,,,
2022/09,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/09,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,공조2: 인터내셔날,2022-09-07,"59,840,496,584",58.70%,"59,872,265,584","5,835,343","5,838,864","2,389","198,243",,1,잠,2023-09-06,"13,379,208,421",20.50%,"13,455,612,321","1,409,809","1,417,547","1,231","99,675"
2,육사오(6/45),2022-08-24,"12,779,699,049",12.50%,"19,544,900,898","1,270,975","1,951,111","1,339","70,367",,2,천박사 퇴마 연구소: 설경의 비밀,2023-09-27,"9,048,858,009",13.90%,"9,048,858,009","944,241","944,241","1,502","28,843"
3,헌트,2022-08-10,"4,514,378,386",4.40%,"44,559,818,060","466,601","4,348,000","1,233","40,603",,3,오펜하이머,2023-08-15,"7,124,568,890",10.90%,"34,047,966,630","676,425","3,202,310","1,158","50,884"
4,늑대사냥,2022-09-21,"4,117,553,911",4.00%,"4,117,553,911","399,298","399,298","1,226","34,015",,4,1947 보스톤,2023-09-27,"4,401,916,148",6.70%,"4,401,916,148","461,397","461,397","1,273","20,165"
5,정직한 후보2,2022-09-28,"1,867,769,730",1.80%,"1,867,769,730","202,206","202,206","1,318","18,457",,5,달짝지근해: 7510,2023-08-15,"3,920,187,519",6.00%,"13,397,099,955","407,480","1,381,850",937,"39,989"
6,한산: 용의 출현,2022-07-27,"1,615,657,496",1.60%,"73,646,126,881","185,507","7,256,918",730,"16,665",,6,콘크리트 유토피아,2023-08-09,"3,640,549,233",5.60%,"37,395,167,595","392,372","3,847,229",970,"39,875"
7,극장판 엄마 까투리: 도시로 간 까투리 가족,2022-09-08,"1,541,383,879",1.50%,"1,546,969,879","165,078","165,876",616,"9,045",,7,타겟,2023-08-30,"3,211,665,784",4.90%,"4,001,965,099","331,430","424,734",961,"35,672"
8,탑건: 매버릭,2022-06-22,"2,051,824,158",2.00%,"87,693,006,116","157,388","8,161,730",437,"8,262",,8,베니스 유령 살인사건,2023-09-13,"1,982,666,575",3.00%,"1,982,666,575","203,096","203,096",876,"27,848"
9,아바타 리마스터링,2022-09-21,"2,467,778,590",2.40%,"2,467,778,590","150,135","150,135",285,"8,328",,9,거미집,2023-09-27,"1,824,955,291",2.80%,"1,824,955,291","192,349","192,349","1,058","13,244"
10,인생은 아름다워,2022-09-28,"1,311,922,651",1.30%,"1,311,922,651","141,509","141,509","1,285","15,465",,10,엘리멘탈,2023-06-14,"1,578,987,078",2.40%,"71,000,721,540","160,948","7,226,072",585,"10,408"
합계,,,"92,108,464,434",90.20%,"296,628,112,300","8,974,040","28,615,647","10,858","419,450",,합계,,,"13,379,208,421",76.70%,"190,556,929,163","5,179,547","19,300,825","10,551","366,603"
,,,,,,,,,,,,,,,,,,,,
2022/10,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/10,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,공조2: 인터내셔날,2022-09-07,"10,830,748,777",17.60%,"70,703,014,361","1,113,445","6,952,309","1,237","73,138",,1,30일,2023-10-03,"18,306,995,855",27.20%,"18,484,046,620","1,861,665","1,880,121","1,226","104,434"
2,인생은 아름다워,2022-09-28,"8,739,672,083",14.20%,"10,051,594,734","932,310","1,073,819","1,215","81,041",,2,그대들은 어떻게 살 것인가,2023-10-25,"10,325,060,680",15.30%,"10,325,060,680","1,063,664","1,063,664","1,733","47,081"
3,정직한 후보2,2022-09-28,"6,526,959,136",10.60%,"8,394,728,866","689,967","892,173","1,270","58,430",,3,천박사 퇴마 연구소: 설경의 비밀,2023-09-27,"9,567,420,683",14.20%,"18,616,278,692","969,779","1,914,020","1,511","69,757"
4,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,"6,701,298,057",10.90%,"7,031,830,403","667,761","701,681",873,"29,566",,4,1947 보스톤,2023-09-27,"4,805,311,432",7.10%,"9,207,227,580","529,880","991,277","1,282","41,639"
5,블랙 아담,2022-10-19,"6,847,595,405",11.10%,"6,847,595,405","662,085","662,085","1,524","58,620",,5,크리에이터,2023-10-03,"2,701,136,233",4.00%,"2,765,702,233","255,753","261,773",878,"25,103"
6,자백,2022-10-26,"2,784,303,106",4.50%,"2,784,303,106","284,521","284,521","1,115","27,384",,6,화란,2023-10-11,"2,457,632,608",3.60%,"2,467,745,208","255,023","255,986",976,"34,511"
7,리멤버,2022-10-26,"2,489,843,570",4.00%,"2,489,843,570","257,970","257,970","1,189","25,860",,7,더 넌 2,2023-09-27,"2,211,860,373",3.30%,"3,751,063,473","208,489","360,342",713,"13,305"
8,극장판 헬로카봇: 수상한 마술단의 비밀,2022-09-28,"1,961,341,966",3.20%,"2,119,507,318","208,896","226,014",790,"10,723",,8,용감한 시민,2023-10-25,"1,856,148,829",2.80%,"1,856,148,829","202,133","202,133",887,"20,442"
9,에브리씽 에브리웨어 올 앳 원스,2022-10-12,"1,971,964,128",3.20%,"1,978,390,128","183,778","184,156",620,"16,868",,9,퍼피 구조대: 더 마이티 무비,2023-10-06,"1,348,018,721",2.00%,"1,378,431,061","146,214","149,242",566,"8,157"
10,오펀: 천사의 탄생,2022-10-12,"1,757,372,606",2.90%,"1,758,866,606","172,893","173,059",707,"19,424",,10,플라워 킬링 문,2023-10-19,"1,268,103,745",1.90%,"1,268,103,745","134,466","134,466",719,"10,752"
합계,,,"50,611,098,834",82.20%,"114,159,674,497","5,173,626","11,407,787","10,540","401,054",,합계,,,"54,847,689,159","81,40%","70,119,808,121","5,627,066","7,213,024","10,491","375,181"
,,,,,,,,,,,,,,,,,,,,
2022/11,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/11,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,블랙 팬서: 와칸다 포에버,2022-11-09,"21,481,116,293",33.90%,"21,481,116,293","2,032,199","2,032,199","2,571","115,485",,1,서울의 봄,2023-11-22,"27,670,035,459",37.80%,"27,670,035,459","2,952,900","2,952,900","2,328","77,291"
2,올빼미,2022-11-23,"10,890,883,854",17.20%,"10,890,883,854","1,127,316","1,127,316","1,541","48,503",,2,그대들은 어떻게 살 것인가,2023-10-25,"8,858,746,363",12.10%,"19,183,807,043","903,085","1,966,749","1,343","69,594"
3,데시벨,2022-11-16,"8,175,521,600",12.90%,"8,175,521,600","827,861","827,861","1,152","48,751",,3,더 마블스,2023-11-08,"6,807,601,786",9.30%,"6,807,601,786","686,976","686,976","1,532","66,622"
4,동감,2022-11-16,"4,509,868,756",7.10%,"4,511,597,756","461,890","462,137","1,013","35,692",,4,프레디의 피자가게,2023-11-15,"5,706,230,228",7.80%,"5,706,230,228","587,136","587,136","1,041","28,886"
5,자백,2022-10-26,"4,548,418,224",7.20%,"7,332,721,330","450,883","735,404","1,103","51,022",,5,소년들,2023-11-01,"4,297,375,469",5.90%,"4,464,069,469","452,168","470,735","1,042","43,210"
